asin,name,brand,mrp,price,category,hook,feature_1,feature_2,feature_3,verdict,status
B0FMDCJCPN,"65W 4 in 1 Multi Function Braided Fast Charging Cable with Ligtning to USB-C, Type C-C, Lighning to ",65W,1499,199,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0H8FQV929,45W Original Type C to C 3.3 FT Fast Charging USB C Cable High-Speed & Data Transfer Compatible with,45W,1483,199,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0H1DKBSXM,45W Original Type C to C 3.3 FT Fast Charging USB C Cable High-Speed & Data Transfer Compatible with,45W,999,129,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0FV8782JD,"Questsole Flexible Silicone Phone Stand, Foldable Rollable Mobile Holder with Aluminum Core, Multi-A",Questsole,1999,279,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B0GY8MMF3C,"85W Ultra Fast Charging Power Adapter with Type-C Cable, Quick Charge Technology, Safe and Reliable",85W,1999,309,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0H5QZ5PFF,"Google 30W USB C to USB C Fast Charging Cable 30W PD, Type C Charger Cable, Compatible with Google P",Google,1899,299,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0G6ZMW337,Case Creation Cute Red Wine Burgundy 3D Cherry Blossom Back Case Compatible for iPhone 11/12/13/14/1,Case,2999,499,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0GSC9MYZ6,"240W USB C to USB C Fast Charging Cable with Foldable Adjustable Phone Stand, Multi-Angle Type C Cha",240W,1999,349,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0H8HQ8WBH,"Lakvya USB-C to USB-C Charging and Data Sync Cable White | Strain Relief Design, Flexible Build, Fra",Lakvya,899,150,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0GRJ7G44N,Samsung 25W Pd 3.0 Type C Super Fast Charger Adapter for Samsung Galaxy M36|S25|M06|F06|M16| F16|M05,Samsung,1699,299,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0GMJ515BH,"Infuze Aluminium Mobile Stand for Desk, 360° Rotatable Foldable Phone Holder, Portable Desktop Mobil",Infuze,899,159,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B0BJ9DWSBQ,"Portable Selfie Stick, Handy Tripod with Detachable Wireless Remote & Mini Tripod Stand for iPhone 1",Portable,1599,294,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B0GZPGKNL8,67W Charger for Op-po A3 Pro (India) Original QC Adapter Type C 3.0A High Speed Fast Turbo Charge QC,67W,1999,385,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0GYPQDXJR,"25W PD Type C Fast Charger Compatible with Samsung Galaxy S24/S23, S22, S21 FE, A55, A54, A34, M14, ",25W,1599,299,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0GSKNW3Y9,"TEC52 USB C to USB C Cable 1.2m, 3.9ft 65W Ultra Fast Charging Braided Cord for Laptops Tablets Smar",TEC52,1499,289,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0DW8PY7TR,"SOOPII 70cm Long Selfie Stick with Bluetooth Remote, Foldable Tripod Stand, Compact & Extendable Upt",SOOPII,999,185,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B0G354X975,"S1 Selfie Stick Tripod Mobile Stand, 28 inch / 70CM Reinforced Tripod for Mobile Phone, Multi-Functi",S1,999,188,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B0GFDTV93D,67W Charger for Realme 15x (India) Original QC Adapter Type C 3.0A High Speed Fast Turbo Charge QC 3,67W,1999,390,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0GYPPW6YQ,Case Creation Cute 3D Minimal Summer Vibe Aesthetic Phone Case with Pineapple Crush Grip Holder for ,Case,2999,600,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0GYPK51K8,Case Creation Cute 3D Minimal Summer Vibe Aesthetic Phone Case With Pineapple Crush Grip Holder For ,Case,2999,600,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0H2HR41B7,Case Creation Cute Aesthetic Glitter Transparent 3D Resin Ocean Beach Theme Phone Case for iPhone 11,Case,2999,599,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0GFMLP1M2,"iPhone Compatible 20W Fast Charger with Cable | PD Type-C Charger Adapter Compatible with iPhone 15,",iPhone,1999,429,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0CMFTF62L,JGD PRODUCTS for Nothing Phone 2a (5G) Premium Transparent Hybrid Soft Slim Dust Proof Silicone Back,JGD,699,149,smartphone,JGD smartphone at 79% off - best deal on Amazon India right now,Powerful processor handles gaming and multitasking smoothly,Long lasting battery keeps you going all day,Good camera system for photos and videos at this price,Best value for money smartphone under Rs149 on Amazon India,ready
B0C3LW119D,JGD PRODUCTS for Nothing Phone 2 5G (2023) Premium Transparent Hybrid Soft Slim Dust Proof Back Case,JGD,699,149,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0FQ5GDQC3,JGD PRODUCTS for Nothing Phone 3 5G Premium Transparent Hybrid Soft Slim Dust Proof Back Case Cover ,JGD,699,149,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0F29MLHXT,"JGD PRODUCTS Edge to Edge Screen Protector Tempered Glass for Poco M7 5G, Poco C71 5G with Easy Self",JGD,699,149,protector,One scratch can ruin your phone screen - this prevents it,9H tempered glass - harder than your phone screen,Crystal clear - no effect on touch sensitivity or display,Easy bubble free installation in 2 minutes,Cheapest insurance you can buy for your phone screen,ready
B0916HB2ZV,"JGD PRODUCTS full edge COVERAGE tempered glass screen protector for Iphone 6/6S (Pack of 1, Black Cu",JGD,699,149,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B09Y5MWTVN,JGD PRODUCTS Anti-Fingerprint Scratch Resistant Matte Screen Protector for Redmi Note 11 Pro/Redmi N,JGD,699,149,protector,One scratch can ruin your phone screen - this prevents it,9H tempered glass - harder than your phone screen,Crystal clear - no effect on touch sensitivity or display,Easy bubble free installation in 2 minutes,Cheapest insurance you can buy for your phone screen,ready
B0BTYDSF5G,JGD PRODUCTS for iPhone 12 Pro Max Tempered glass Screen Protector with Full Edge Protection and Eas,JGD,699,149,protector,One scratch can ruin your phone screen - this prevents it,9H tempered glass - harder than your phone screen,Crystal clear - no effect on touch sensitivity or display,Easy bubble free installation in 2 minutes,Cheapest insurance you can buy for your phone screen,ready
B0FHKTC1YH,"Elver USB C - 8 Pin Cable 1.2m, 27W Fast Charging, 480 Mbps Data Transfer, Compatible with iPhone 6 ",Elver,999,212,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0D8ZNRRCB,JGD Google Pixel Original Type C to Type C Mobile Data Charging Cable for Pixel 8 Pro/8/8A/7 Pro/7/7,JGD,699,149,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0GT66FSQK,"TEC54 USB Type A to USB C Cable 1m/3.3ft, 65W PD Ultra Fast Charging PVC Cord, Compatible with iPhon",TEC54,1199,249,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0BQMSY168,"boAt WCDV 22.5W Dual Port Fast Charger, Overheat/Overcharge Protection, Auto Detection for Samsung, ",boAt,2490,549,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0GYPSXN59,"ULTRAPROLINK 100W USB-C to USB-C PD 3.1 Fast Charging Cable 2m (6.56ft), E-Marker Chip, 480Mbps Data",ULTRAPROLINK,1999,449,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0DT9FBBXD,"STRIFF Phone Holders for Your Car with Metal Hook Clip, Air Vent Cell Phone Car Mount, Universal Aut",STRIFF,999,219,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B09N1XRVL8,"HOLD UP 67Inch/ 170cm Long Selfie Stick Tripod Stand with Wireless Remote, Long Tripod Stand with 36",HOLD,1499,331,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B0DG2WVLG2,Amazon Basics 10000mAh 20W Fast Charging Power Bank and 15W Wireless Output | Type C Power Delivery ,Amazon,5999,1399,powerbank,Never worry about low battery when you are away from home,High capacity - charges your phone 2 to 3 times fully,Fast charging support - powers up your phone quickly,Slim and lightweight - fits easily in your pocket or bag,Best power bank for travel and daily commute,ready
B0D1R85RMR,DR VAKU® iPhone Charger Cable(MFi Certified) Type C to Type C Cable for iPhone 17/17 Air/17 Pro/17 P,DR,1599,372,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0H8Y2TXFB,Earbuds T-200 Wireless for Realme X7 (India) True Wireless Stereo Earbuds with Advanced Noise Cancel,Earbuds,2999,679,earphone,Sound quality that makes your music actually enjoyable,Powerful bass and crystal clear treble for all music genres,Comfortable fit stays in ear even during workouts,Built in mic for clear hands free calls,Best earphone you can buy at this price in India,ready
B0F8N6D6YJ,Overhead Tripod for Mobile - Overhead Video Stand Phone Holder - Mobile Stand for Video Shooting - T,Overhead,2995,699,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B0GGCXSQS7,"Case Creation Premium Sports Car Phone Case for iPhone 15/16/ 17 Pro Max, Glossy Automotive Curvy 3D",Case,3999,949,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0GGCFT3K8,"Case Creation Premium Sports Car Phone Case for iPhone 15/16/ 17 Pro Max, Glossy Automotive Curvy 3D",Case,3999,949,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0GGCMXPBJ,"Case Creation Premium Sports Car Phone Case for iPhone 15/16/ 17 Pro Max, Glossy Automotive Curvy 3D",Case,3999,949,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B098G6TFJ1,CASEOLOGY by Spigen Wireless Charger Desktop Stand Holder Dock Compatible with MagSafe Charger for i,CASEOLOGY,4199,999,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0DB2F41D5,"S64S Selfie Stick Tripod Stand with Light 67 inch/1.7 M, 360° Rotation Handle for Anti Shake Shootin",S64S,2999,733,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B09YMC7NQG,NAFA Portable Selfie Stick Tripod with Wireless Bluetooth Remote and Tripod Stand,NAFA,1299,312,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B0H2CTDLR1,"5W 1A Mobile Wall Charger, White, Fast Charging, White, Made in India",5W,999,249,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0H753MRZ4,Customised Printed Back Cover Case for Nothing Phone 3A - Personalised Mobile Cover with Your Text N,Customised,999,249,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0GQBW2NDM,"Case Creation Cute Aesthetic Minimalist White Bow Ribbon Back Case for iPhone 11, 12, 13, 14, 15, 16",Case,1999,499,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0H755LV6K,Customised Printed Back Cover Case for Nothing Phone 2A / Phone 2A Plus - Personalised Mobile Cover ,Customised,999,249,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0H5LSWTL2,Customised Printed Back Cover Case for Nothing Phone 3A Pro - Personalised Mobile Cover with Your Te,Customised,999,249,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0H75B19W5,Customised Printed Back Cover Case for Nothing Phone 1 - Personalised Mobile Cover with Your Text Na,Customised,999,249,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0H5MSXTXB,Customised Printed Back Cover Case for Nothing Phone 2A / Phone 2A Plus - Personalised Mobile Cover ,Customised,999,249,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0GQBJXJZ1,"Case Creation Cute Aesthetic Minimalist White Bow Ribbon Back Case for iPhone 11, 12, 13, 14, 15, 16",Case,1999,499,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0GDQS2J22,(1 Pack) Screen Protector for OnePlus | HD Clear Soft Hydrogel Film | 100% Fingerprint Unlock Suppor,(1,999,249,protector,One scratch can ruin your phone screen - this prevents it,9H tempered glass - harder than your phone screen,Crystal clear - no effect on touch sensitivity or display,Easy bubble free installation in 2 minutes,Cheapest insurance you can buy for your phone screen,ready
B0FKBWDVRQ,"truke New Launch Mega 8 True Wireless in-ear Earbuds with 24-Bit Spatial Audio, 70H Battery & Fast C",truke,3999,999,earphone,Sound quality that makes your music actually enjoyable,Powerful bass and crystal clear treble for all music genres,Comfortable fit stays in ear even during workouts,Built in mic for clear hands free calls,Best earphone you can buy at this price in India,ready
B0DSVVSQWY,"MadRabbit Cosmo Bluetooth Truly Wireless in-Ear Earbuds with Mic, 30H Playtime, 10Mm Bass Drivers, 5",MadRabbit,3999,999,earphone,Sound quality that makes your music actually enjoyable,Powerful bass and crystal clear treble for all music genres,Comfortable fit stays in ear even during workouts,Built in mic for clear hands free calls,Best earphone you can buy at this price in India,ready
B0HBKP54GY,Earbuds Original for Xiaomi Redmi Note 11 SE (India) Buds 4 Pro (Black) in-Ear Wireless Earbuds with,Earbuds,7999,1999,earphone,Sound quality that makes your music actually enjoyable,Powerful bass and crystal clear treble for all music genres,Comfortable fit stays in ear even during workouts,Built in mic for clear hands free calls,Best earphone you can buy at this price in India,ready
B0H4H8Y7RY,Premium Auto Lock & Release Gravity Car Phone Holder with Air Vent Clip of Phones | for Premium Car ,Premium,1999,499,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B0FGQ21CVD,"Sounce Heavy Duty Metal Mobile Stand Holder Flexible Desk Clamp Phone Mount with Long Gooseneck, Ant",Sounce,999,249,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B0GTF62ZDM,50W Charger for Infinix Smart 7 (India) Original QC Adapter Type C 3.0A High Speed Fast Turbo Charge,50W,1499,390,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0GKNY3NFK,50W Charger for Infinix Smart 7 (India) Original QC Adapter Type C 3.0A High Speed Fast Turbo Charge,50W,1499,390,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0GN33MXBQ,50W Charger for Xiaomii Redmi Note 11 SE (India) Original QC Adapter Type C 3.0A High Speed Fast Tur,50W,1499,390,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0GNSMGF5T,67W Charger for Sam-Sung Galaxy A12 (India) Original QC Adapter Type C 3.0A High Speed Fast Turbo Ch,67W,1499,390,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0GJ4VHF17,50W Charger for Sam-Sung Galaxy A12 (India) Original QC Adapter Type C 3.0A High Speed Fast Turbo Ch,50W,1499,390,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0GKYX9NXF,60W Type C to Type C Charging Cable Nylon Braided Support iPhone 15/16/17 Pro/Pro Max MacBook iPad &,60W,1899,490,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0GY94WR7H,Toreto Power Aero 20 20000mAh Power Bank | 22.5W Fast Charging | 20W Type-C PD Output | Dual USB 22.,Toreto,3499,949,powerbank,Never worry about low battery when you are away from home,High capacity - charges your phone 2 to 3 times fully,Fast charging support - powers up your phone quickly,Slim and lightweight - fits easily in your pocket or bag,Best power bank for travel and daily commute,ready
B0GGHNF9VF,Case Creation Trendy Pink Floral Flower Phone Case for iPhone 11/12/13/14/15/16/17 Pro Max Plus Mini,Case,1999,545,case,Protect your expensive phone without adding bulk or weight,Drop tested protection for your phone screen and back,Precise cutouts for camera buttons and charging port,Slim fit looks good and feels premium in hand,Worth buying before you crack your screen,ready
B0D8J6T9V5,EVM 36W Fast Charger | USB C Wall Adapter with PD & QC 3.0 | Dual Port Type-C Charger with Cable | C,EVM,2499,699,charger,Charges your phone faster than your original charger,Fast charging technology - phone charged in under 1 hour,Compatible with all Android phones and iPhones,Compact and travel friendly design,Upgrade your charging speed - your original charger is holding you back,ready
B0GXSZBKX7,"MACLEN 100% Fingerprint Unlock Support Privacy Tempered Glass for Samsung Galaxy S25 5G Anti-Spy, An",MACLEN,699,199,protector,One scratch can ruin your phone screen - this prevents it,9H tempered glass - harder than your phone screen,Crystal clear - no effect on touch sensitivity or display,Easy bubble free installation in 2 minutes,Cheapest insurance you can buy for your phone screen,ready
B0GPQ1STPX,JGD PRODUCTS 100% Fingerprint Unlock Support Privacy Tempered Glass for Samsung Galaxy S26 Ultra 5G ,JGD,699,199,protector,One scratch can ruin your phone screen - this prevents it,9H tempered glass - harder than your phone screen,Crystal clear - no effect on touch sensitivity or display,Easy bubble free installation in 2 minutes,Cheapest insurance you can buy for your phone screen,ready
B0GRMJGK9C,"JGD PRODUCTS 10Gbps Micro B to USB C Hard Drive Cable 1FT, USB 3.1 USB C to Micro B, High-Speed Exte",JGD,699,199,cable,The cable that actually lasts more than 3 months,Nylon braided design resists bending and fraying,Supports fast charging and data transfer,Works with all Type C Android and Lightning iPhone devices,Buy two - one for home one for office,ready
B0DRYWFMLC,"Humble Universal 360° Rotatable Dashboard Mount Smartphone Holder Anti-Slip Silicone Mount for Car, ",Humble,699,199,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B09VZBGL1N,"STRIFF Multi Angle Tablet Tabletop Stand. Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Port",STRIFF,599,169,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B0CCP5FW3F,"WeCool T1 Mobile Stand for Desk with 360°Rotation & Stable Metalic Round Base,Tabletop Phone Stand w",WeCool,1599,449,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
B0GCTBSFP6,"Selfie Stick Tripod 25 inch with Bluetooth Remote & Light (2.5 FT) | 3-in-1 Multifunctional, Foldabl",Selfie,899,249,accessory,The smartphone accessory that makes your phone more useful,Universal compatibility with all major smartphone brands,Premium build quality that lasts years not months,Compact design easy to carry and use anywhere,Highly practical and worth every rupee,ready
